_id,_type,topConceptOf,inScheme,prefLabel,altLabel,notation,definition,scopeNote,broader,relevantDataType,relevantCodeList,relevantLZS,relevantProperty,relevantQuantityKind,relevantUnit,applicableUnit,seeAlso,subject,hasProcedureForProperty,dc_type,actie,value,minValue,maxValue,operatie,technischefiche,referentiewaardeType
,,,,,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:parameter,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem eigenschap,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:medium,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem medium,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:systeemtype,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:systeemstatus,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem status,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:stalbezetting,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem stalbezetting,, ,,,,,,,,,,,,,,,,,,,,,
conceptscheme:norm-bandbreedte,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem normbandbreedte,Ranges,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:parameter-norm,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem parameter specificatie,,,"Het schema van indelingsklassen (1, 2, 3) zoals vastgelegd in de Vlaamse milieuregelgeving (VLAREM).",,,,,,,,,,,,,,,,,,,,
conceptscheme-alg:vlarem-klasse,skos:ConceptScheme,,,VLAREM indelingsklassen,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:systeemopstelling,skos:ConceptScheme,,,conceptschema  luchtzuiveringssysteem opstelingen,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:dataleverancierstatus,skos:ConceptScheme,,,conceptschema dataleverancier status,,,,,,,,,,,,,,,,,,,,,,,
lzs-status:gereinigd,skos:Concept,conceptscheme:systeemstatus,conceptscheme:systeemstatus,Gereinigd,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
lzs-stalbezetting:leeg,skos:Concept,conceptscheme:stalbezetting,conceptscheme:stalbezetting,Lege stal,,,,,,,,,,,,,,,,,,,,,,,
lzs-stalbezetting:in_gebruik,skos:Concept,conceptscheme:stalbezetting,conceptscheme:stalbezetting,"Stal in gebruik, dieren aanwezig.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
lzs-medium:lucht,skos:Concept,conceptscheme:medium,conceptscheme:medium,Lucht,,,,,,,,,,,,,,,,,,,,,,,
lzs-medium:waswater,skos:Concept,conceptscheme:medium,conceptscheme:medium,Waswater,,,,,,,,,,,,,,,,,,,,,,,
lzs-medium:spuiwater,skos:Concept,conceptscheme:medium,conceptscheme:medium,Spuiwater,,,,,,,,,,,,,,,,,,,,,,,
lzs-medium:stal,skos:Concept,conceptscheme:medium,conceptscheme:medium,Stal,,,,,,,,,,,,,,,,,,,,,,,
lzs-medium:hetelektronischmonitoringssysteem,skos:Concept,conceptscheme:medium,conceptscheme:medium,Het elektronisch monitoringssysteem,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
lzs-param-norm:_1,skos:Concept,conceptscheme:parameter-norm,conceptscheme:parameter-norm,Zuurtegraad waswater S1 systeem,,,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs-type:s1,lzs-param:zuurtegraadwaswater,,http://qudt.org/vocab/unit/PH,,,,,,,,6,8.5,,true,maximum
lzs-param-norm:_2,skos:Concept,conceptscheme:parameter-norm,conceptscheme:parameter-norm,Geleidbaarheid waswater S1 systeem,,,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs-type:s1,lzs-param:geleidbaarheidvanhetwaswater,,http://qudt.org/vocab/unit/MilliS-PER-CentiM,,,,,,,,0,30,,true,maximum
